firm,category,iso_o
01Digital,apps,BRA
01Digital,games,BRA
"1 Second Everyday, P.B.C.",apps,USA
101XP LIMITED,games,CYP
10ANTZ Inc.,games,JPN
11 bit studios,games,POL
111%,games,KOR
1337 & Senri LLC,games,USA
1492 Studio,games,FRA
15PLAY,games,TWN
1758Play,games,TWN
1767app.com,games,TWN
1767Game一起遊戲,games,TWN
17LIVE LIMITED,apps,TWN
"18moons, inc.",apps,USA
1C-Publishing LLC,games,RUS
2 Date,apps,TWN
20 Minuten Online,apps,CHE
2012 G-Power,apps,ITA
21 Pink,apps,HKG
21Pink ltd.,games,HKG
22 Media,apps,USA
22Cans,games,GBR
28Hse Ltd,apps,HKG
2D BOY,games,ZAF
2K,games,USA
"2K, Inc.",games,USA
2KB LLC,games,USA
2kids.cn,apps,CHN
2kids.cn,games,CHN
2kit consulting,apps,DEU
2L Multimedia SAS,apps,FRA
"2XL Games, Inc.",games,USA
31X Ltd,games,GBR
337 TECHNOLOGY LIMITED,games,HKG
37GAMES,games,KOR
3909,games,USA
3akarat.net,apps,SAU
3BR Tech,apps,BRA
3D4Medical from Elsevier,apps,IRL
3Guns,games,SVK
3guns,games,SVK
4399 Corporation,games,CHN
4399 NET LIMITED,games,HKG
4399手机游戏,games,CHN
4Fun Games,games,CHN
4S Games,games,KOR
505 Games Srl,games,USA
5agame,games,USA
5th Planet Games Development ApS,games,DNK
616 Digital LLC,games,USA
69 Studio,games,USA
7Mind GmbH,apps,DEU
7road International HK Limited,games,HKG
7th Sense Psychics,apps,IRL
88 Entertaiment,games,USA
88Box Technology Limited,games,HKG
"9-Kylins network technology Co., Ltd.",games,RUS
90123 Mobile,games,TUR
91Act,games,CHN
9413wan,games,TWN
95live,apps,USA
980x Game Online,games,HKG
99Games,games,IND
"9Folders, Inc.",apps,KOR
9M Interactive,games,KOR
"9Splay Entertainment Technology Co., LTD.",games,TWN
9SplayDeveloper,games,TWN
9You Group,games,CHN
"""Die Presse"" Digital GmbH & Co KG",apps,AUT
(주) 바나나허브,games,KOR
(주) 앤쓰리게임,games,KOR
(주) 위즈덤하우스 미디어그룹,apps,KOR
(주)별하,games,KOR
(주)스노우파이프,games,KOR
(주)스코넥엔터테인먼트,games,KOR
(주)아이글라스,games,KOR
(주)애드팝콘,apps,KOR
(주)엔비젼크리에이티브,games,KOR
(주)와이오유커뮤니케이션즈,apps,KOR
(주)조이티게임즈,games,KOR
(주)지니뮤직,apps,KOR
(주)쿤룬코리아,games,KOR
(주)투퍼슨,apps,KOR
-GameNation-,games,USA
[adult swim] games,apps,USA
[adult swim] games,games,USA
A Color Story LLC,apps,USA
A Inc.,apps,JPN
A serial LLC,apps,RUS
A Thinking Ape Entertainment Ltd.,games,CAN
A&E Television Networks Mobile,apps,USA
A1 Telekom Austria AG,apps,AUT
"AA, OOO",apps,RUS
AAPTIV INC.,apps,USA
AB Utbildning & Co,apps,SWE
ABA English,apps,ESP
ABBYY,apps,RUS
Abdulla Al-Shurafa,apps,ARE
Aboalarm GmbH,apps,DEU
Abril Comunicações,apps,BRA
Absolutist Ltd,games,UKR
Abvio Inc.,apps,USA
AbZorba Games BetriebsgmbH,games,AUT
Acast AB,apps,SWE
AccelaOtomeGame,games,FRA
