firm,iso_o,category,parent
"""HANGZHOU ALIBABA ADVERTISING CO., LTD.""",CHN,cloud-computing,ALI BABA GROUP LLC
"""HANGZHOU ALIBABA ADVERTISING CO., LTD.""",CHN,online-marketplace,ALI BABA GROUP LLC
"1-UP STUDIO CO., LTD.",THA,digital-media_video-games_gaming-networks,"NINTENDO CO.,LTD."
123-REG LIMITED,GBR,web-hosting,GODADDY INC.
2020 GROUP LTD,GBR,cloud-computing,ORACLE CORP
2020 GROUP LTD,GBR,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
3055855 NOVA SCOTIA COMPANY,CAN,cloud-computing,ORACLE CORP
3055855 NOVA SCOTIA COMPANY,CAN,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
514713 N.B. INC.,CAN,cloud-computing,ORACLE CORP
514713 N.B. INC.,CAN,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
"58 CO., LTD.",CHN,online-marketplace,58.COM INCORPORATED
58 DAOJIA INC.,VGB,online-marketplace,58.COM INCORPORATED
58.COM INCORPORATED,CYM,online-marketplace,58.COM INCORPORATED
@LAST SOFTWARE INC,USA,software_productivity-software_creative-software,ALPHABET INC.
A HOLDINGS CORPORATION,JPN,digital-advertising,NAVER CORPORATION
A J TECHNOLOGIES LIMITED,GBR,Cybersecurity,AKAMAI TECHNOLOGIES LIMITED
A J TECHNOLOGIES LIMITED,GBR,cloud-computing,AKAMAI TECHNOLOGIES LIMITED
A.C.N. 075 333 596 PTY LTD,AUS,cloud-computing,ORACLE CORP
A.C.N. 075 333 596 PTY LTD,AUS,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
A9 COM INC,USA,cloud-computing,"AMAZON.COM, INC."
ABACUS SERVICES PTE LTD,SGP,software_enterprise-software_customer-relationship-management-software,SABRE CORPORATION
ABC DISTRIBUTION AND RETAIL SOLUTIONS GMBH IN LIQUIDATION,CHE,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ABE BOOKS SP. Z O.O.,POL,online-marketplace,"AMAZON.COM, INC."
ACCOMABLE LIMITED,GBR,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
ACSERA LIMITED,GBR,cloud-computing,ORACLE CORP
ACSERA LIMITED,GBR,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
ACTIVISION BLIZZARD DEUTSCHLAND GMBH,DEU,digital-media_video-games_pc-games,"ACTIVISION BLIZZARD, INC."
ACTIVISION BLIZZARD FRANCE,FRA,digital-media_video-games_pc-games,"ACTIVISION BLIZZARD, INC."
ACTIVISION BLIZZARD HOLDINGS B.V.,NLD,digital-media_video-games_pc-games,"ACTIVISION BLIZZARD, INC."
ACTIVISION BLIZZARD IRELAND LIMITED,IRL,digital-media_video-games_pc-games,"ACTIVISION BLIZZARD, INC."
ACTIVISION BLIZZARD NORDIC AB,SWE,digital-media_video-games_pc-games,"ACTIVISION BLIZZARD, INC."
ACTIVISION BLIZZARD PTY LTD,AUS,digital-media_video-games_pc-games,"ACTIVISION BLIZZARD, INC."
ACTIVISION BLIZZARD SPAIN SL,ESP,digital-media_video-games_pc-games,"ACTIVISION BLIZZARD, INC."
ACTIVISION BLIZZARD UK LTD,GBR,digital-media_video-games_pc-games,"ACTIVISION BLIZZARD, INC."
"ACTIVISION BLIZZARD, INC.",USA,digital-media_video-games_pc-games,"ACTIVISION BLIZZARD, INC."
"ACTIVISION EUROPE, LIMITED",GBR,digital-media_video-games_pc-games,"ACTIVISION BLIZZARD, INC."
ACTIVISION K.K.,JPN,digital-media_video-games_pc-games,"ACTIVISION BLIZZARD, INC."
"ACTIVISION PUBLISHING MINNEAPOLIS, INC",USA,digital-media_video-games_pc-games,"ACTIVISION BLIZZARD, INC."
ACTIVITY INFORMATION CENTER INC,USA,digital-advertising,"EXPEDIA GROUP, INC."
ACTIVITY INFORMATION CENTER INC,USA,online-travel-market,"EXPEDIA GROUP, INC."
ACUMEN SOLUTIONS INC,USA,cloud-computing,SALESFORCE INC
ACUMEN SOLUTIONS INC,USA,software_enterprise-software_customer-relationship-management-software,SALESFORCE INC
ADKU,USA,online-marketplace,"GROUPON, INC."
"ADOBE ASSETS, LLC",USA,software_productivity-software_creative-software,ADOBE INC
ADOBE CANADA SERVICES CORPORATION,CAN,software_productivity-software_creative-software,ADOBE INC
ADOBE COLOMBIA SAS,COL,software_productivity-software_creative-software,ADOBE INC
ADOBE INC,USA,software_productivity-software_creative-software,ADOBE INC
ADOBE KK,JPN,software_productivity-software_creative-software,ADOBE INC
"ADOBE LABS, INC.",USA,software_productivity-software_creative-software,ADOBE INC
ADOBE RESEARCH (SCHWEIZ) AG,CHE,software_productivity-software_creative-software,ADOBE INC
ADOBE SOFTWARE TRADING COMPANY LIMITED,IRL,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS BELGIUM,BEL,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS BENELUX B.V.,NLD,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS BRASIL LTDA.,BRA,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS CANADA INC,CAN,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS DANMARK APS,DNK,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS ENGINEERING GMBH,DEU,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS EUROPE LIMITED,GBR,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS FEDERAL LLC,USA,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS FRANCE SAS,FRA,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS GMBH,DEU,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS HOLDING COMPANY LIMITED,IRL,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS INDIA PRIVATE LIMITED,IND,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS ITALIA S.R.L.,ITA,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS NORDIC AKTIEBOLAG,SWE,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS PTY LTD,AUS,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS ROMANIA SRL,ROU,software_productivity-software_creative-software,ADOBE INC
ADOBE SYSTEMS SOFTWARE CHILE LIMITADA,CHL,software_productivity-software_creative-software,ADOBE INC
ADOBE TECHNOLOGIES INTERNATIONAL S.L.,ESP,software_productivity-software_creative-software,ADOBE INC
ADOBE VISUAL SCIENCES LLC,USA,software_productivity-software_creative-software,ADOBE INC
ADP DEALER SERVICES,USA,software_enterprise-software_enterprise-resource-planning-software,"CDK GLOBAL, INC."
ADP DEALER SERVICES (FINLAND) OY,FIN,software_enterprise-software_enterprise-resource-planning-software,"CDK GLOBAL, INC."
ADP DEALER SERVICES DE MEXICO SA DE CV,MEX,software_enterprise-software_enterprise-resource-planning-software,"CDK GLOBAL, INC."
ADP DEALER SERVICES GULF FZ-LLC,ARE,software_enterprise-software_enterprise-resource-planning-software,"CDK GLOBAL, INC."
ADP DEALER SERVICES OOO,RUS,software_enterprise-software_enterprise-resource-planning-software,"CDK GLOBAL, INC."
ADP DEALER SERVICES SVERIGE AB,FIN,software_enterprise-software_enterprise-resource-planning-software,"CDK GLOBAL, INC."
"ADP VEHICLE INFORMATION MANAGEMENT TECHNOLOGY (SHANGHAI) CO., LTD.",CHN,software_enterprise-software_enterprise-resource-planning-software,"CDK GLOBAL, INC."
ADVANCED VISUAL TECHNOLOGIES LLC,USA,cloud-computing,ORACLE CORP
ADVANCED VISUAL TECHNOLOGIES LLC,USA,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
ADVANCED VISUAL TECHNOLOGY AMERICAS,GBR,cloud-computing,ORACLE CORP
ADVANCED VISUAL TECHNOLOGY AMERICAS,GBR,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
AEGINO UNLIMITED COMPANY,IRL,cloud-computing,ALPHABET INC.
AEGINO UNLIMITED COMPANY,IRL,digital-advertising,ALPHABET INC.
AEGINO UNLIMITED COMPANY,IRL,online-marketplace,ALPHABET INC.
AEROSPIKE INC,USA,software_enterprise-software_other-enterprise-software,AEROSPIKE INC
AFTERPAY LIMITED,AUS,payment-service,BLOCK INC
"AGILE SOFTWARE (SUZHOU) CO., LTD",CHN,cloud-computing,ORACLE CORP
"AGILE SOFTWARE (SUZHOU) CO., LTD",CHN,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
AGILE SOFTWARE CORP,USA,cloud-computing,ORACLE CORP
AGILE SOFTWARE CORP,USA,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
AGILE SOFTWARE ENTERPRISE PRIVATE LIMITE D,IND,cloud-computing,ORACLE CORP
AGILE SOFTWARE ENTERPRISE PRIVATE LIMITE D,IND,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
AGODA COMPANY PTE. LTD.,SGP,online-travel-market,BOOKING HOLDINGS INC.
AGODA HOLDING COMPANY LTD,MUS,online-travel-market,BOOKING HOLDINGS INC.
AINSLIE LOUISE LYON,AUS,digital-media_video-games_pc-games,SONY GROUP CORPORATION
AIRBNB AUSTRALIA PTY LIMITED,AUS,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB FRANCE,FRA,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB GERMANY GMBH,DEU,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB GLOBAL CAPABILITY CENTER PRIVATE LIMITED,IND,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB HOLDINGS PRIVATE LIMITED,SGP,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB INDIA PRIVATE LIMITED,IND,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB INTERNATIONAL UNLIMITED COMPANY,IRL,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB IRELAND UNLIMITED COMPANY,IRL,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB ITALY S.R.L.,ITA,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB MARKETING SERVICES SL.,ESP,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB PAYMENTS AUSTRALIA PTY. LTD.,AUS,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB PAYMENTS INDIA PRIVATE LIMITED,IND,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB PHILIPPINES INC.,PHL,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB SINGAPORE PRIVATE LIMITED,SGP,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRBNB UK LIMITED,GBR,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
"AIRBNB, INC.",USA,online-travel-market,AIRBNB INTERNATIONAL UNLIMITED COMPANY
AIRLINE TECHNOLOGY SERVICES MAURITIUS LTD,MUS,software_enterprise-software_customer-relationship-management-software,SABRE CORPORATION
AISLE50,USA,online-marketplace,"GROUPON, INC."
AKAMAI (BEIJING) TECHNOLOGIES CO LTD,CHN,Cybersecurity,AKAMAI TECHNOLOGIES LIMITED
AKAMAI (BEIJING) TECHNOLOGIES CO LTD,CHN,cloud-computing,AKAMAI TECHNOLOGIES LIMITED
AKAMAI INTERNATIONAL B.V.,NLD,Cybersecurity,AKAMAI TECHNOLOGIES LIMITED
AKAMAI INTERNATIONAL B.V.,NLD,cloud-computing,AKAMAI TECHNOLOGIES LIMITED
AKAMAI JAPAN G.K,JPN,Cybersecurity,AKAMAI TECHNOLOGIES LIMITED
AKAMAI JAPAN G.K,JPN,cloud-computing,AKAMAI TECHNOLOGIES LIMITED
AKAMAI NETWORKS B.V.,NLD,Cybersecurity,AKAMAI TECHNOLOGIES LIMITED
AKAMAI NETWORKS B.V.,NLD,cloud-computing,AKAMAI TECHNOLOGIES LIMITED
AKAMAI SALES LLC,USA,Cybersecurity,AKAMAI TECHNOLOGIES LIMITED
AKAMAI SALES LLC,USA,cloud-computing,AKAMAI TECHNOLOGIES LIMITED
AKAMAI TECHNOLOGIES AB,SWE,Cybersecurity,AKAMAI TECHNOLOGIES LIMITED
AKAMAI TECHNOLOGIES AB,SWE,cloud-computing,AKAMAI TECHNOLOGIES LIMITED
AKAMAI TECHNOLOGIES APJ PTE. LTD.,SGP,Cybersecurity,AKAMAI TECHNOLOGIES LIMITED
AKAMAI TECHNOLOGIES APJ PTE. LTD.,SGP,cloud-computing,AKAMAI TECHNOLOGIES LIMITED
AKAMAI TECHNOLOGIES CANADA INC.,CAN,Cybersecurity,AKAMAI TECHNOLOGIES LIMITED
AKAMAI TECHNOLOGIES CANADA INC.,CAN,cloud-computing,AKAMAI TECHNOLOGIES LIMITED
